 Year,Project, Company, Content_Type, Activity, Region, Program, Language,Amount
2019 - 2020,Distorsion I,Trinôme II Inc.,N/A,Production,Montreal,Performance Envelopes,French,50.000.00
2019 - 2020,Enfer c’est chez nous (L’) I (anc. Ça pourrait vous arriver),N12 Productions Inc.,N/A,Production,Montreal,Performance Envelopes,French,235.880.00
2019 - 2020,Pilotes de demain (Les) I (anc. Top Gun Québec I),Zone3-XVII inc.,N/A,Production,Montreal,Performance Envelopes,French,202.383.00
2019 - 2020,District 31 IV,District 31 IV Inc.,N/A,Production,Montreal,Performance Envelopes,French,1.693.200
2019 - 2020,Léo II,Encore Télévision - Léo Inc.,N/A,Production,Montreal,Performance Envelopes,French,400.000.00
2019 - 2020,Colombe Sauvage,Les Productions Lustitia Inc.,N/A,Production,Montreal,Performance Envelopes,French,44.000.00
2019 - 2020,Sur les traces d’un tueur en série I,Attraction Images Productions XII Inc.,N/A,Production,Montreal,Performance Envelopes,French,308.893.00
2019 - 2020,Skate le monde I,11340069 Canada inc.,N/A,Production,Montreal,Performance Envelopes,French,124.252.00
2019 - 2020,Porteurs de plumes,9223-3287 Québec Inc. (Wabanok),N/A,Production,Montreal,Performance Envelopes,French,75.500.00
2019 - 2020,Mère ordinaire,1R2D Inc.,N/A,Production,Montreal,Performance Envelopes,French,5.000.00
2019 - 2020,Mets-y le Paquet III,Entourage télévision IV inc.,N/A,Production,Montreal,Performance Envelopes,French,128.500.00
2019 - 2020,Expédition Extrême XL Pro IV,Les Productions Lustitia Inc.,N/A,Production,Montreal,Performance Envelopes,French,266.959.00
2019 - 2020,Prière de ne pas envoyer de fleurs IX,Zone3-XVII inc.,N/A,Production,Montreal,Performance Envelopes,French,100.000.00
2019 - 2020,Dominic Paquet: Rien qu’s’une gosse,Entourage télévision IV inc.,N/A,Production,Montreal,Performance Envelopes,French,5.000.00
2019 - 2020,Polytechnique : Ce qu’il reste du 6 décembre,Entourage télévision IV inc.,N/A,Production,Montreal,Performance Envelopes,French,114.928.00
2019 - 2020,Zoo pas comme les autres (Un) II,Datsit Studios Quatorze Inc.,N/A,Production,Montreal,Performance Envelopes,French,300.000.00
2019 - 2020,Refuge animal VI,8450544 Canada Inc.,N/A,Production,Montreal,Performance Envelopes,French,10.000.00
2019 - 2020,Dernier soir I (Le),A Média III Inc.,N/A,Production,Montreal,Performance Envelopes,French,250.000.00
2019 - 2020,Révolution II,Productions GFP (XIII) inc.,N/A,Production,Montreal,Performance Envelopes,French,1.200.000
2019 - 2020,Bataille de Nancy (La),Pimiento Medias 5 Inc.,N/A,Production,Montreal,Performance Envelopes,French,65.000.00
2019 - 2020,Guy Nantel: Nos droits et libertés,Entourage télévision IV inc.,N/A,Production,Montreal,Performance Envelopes,French,5.000.00
2019 - 2020,100 génies I,Productions GFP (V) Inc.,N/A,Production,Montreal,Performance Envelopes,French,50.000.00
2019 - 2020,Boomerang V,Encore Télévision - Boomerang inc.,N/A,Production,Montreal,Performance Envelopes,French,1.400.000
2019 - 2020,Unité des naissances: 1 an plus tard,Attraction Images Productions XIV Inc.,N/A,Production,Montreal,Performance Envelopes,French,26.938.00
2019 - 2020,Nos maisons; notre histoire,Savoir média,N/A,Production,Montreal,Performance Envelopes,French,30.000.00
2019 - 2020,Du génie pour la planète I,Savoir média,N/A,Production,Montreal,Performance Envelopes,French,70.000.00
2019 - 2020,P’tit cabaret (Le) IV,Attraction Images Productions XIV Inc.,N/A,Production,Montreal,Performance Envelopes,French,60.000.00
2019 - 2020,De Garde 24/7 – V,Les Productions Avanti Ciné Vidéo Inc.,N/A,Production,Montreal,Performance Envelopes,French,307.000.00
2019 - 2020,Camp Rock I,Zone3-XVII inc.,N/A,Production,Montreal,Performance Envelopes,French,25.000.00
2019 - 2020,Course folle (La),Trinôme II Inc.,N/A,Production,Montreal,Performance Envelopes,French,265.220.00
2019 - 2020,Autre histoire (Une) II,Sphère Média 2011 Inc.,N/A,Production,Montreal,Performance Envelopes,French,1.538.443
2019 - 2020,Trop III,Sphère Média 2002 Inc.,N/A,Production,Montreal,Performance Envelopes,French,855.000.00
2019 - 2020,5e Rang II,5E RANG SAISON 2 INC.,N/A,Production,Montreal,Performance Envelopes,French,2.673.617
2019 - 2020,Heure bleue (L’) IV,Productions de l'Ardoise IV inc,N/A,Production,Montreal,Performance Envelopes,French,3.800.000
2019 - 2020,Discussions avec mes parents II,A Média II inc.,N/A,Production,Montreal,Performance Envelopes,French,715.000.00
2019 - 2020,Michel Barrette – Drôle de vie,1R2D Inc.,N/A,Production,Montreal,Performance Envelopes,French,5.000.00
2019 - 2020,Artis 2019,TVA Productions II inc.,N/A,Production,Montreal,Performance Envelopes,French,5.000.00
2019 - 2020,Ceci n’est pas un Talk Show II,Productions KOTV VIII Inc.,N/A,Production,Montreal,Performance Envelopes,French,267.298.00
2019 - 2020,Échappée (L’) IV,Amalga Créations Télé 7 inc.,N/A,Production,Montreal,Performance Envelopes,French,3.800.000
2019 - 2020,Captation du spectacle “Monsieur” de Phil Roy,Phaneuf Télévision II Inc.,N/A,Production,Montreal,Performance Envelopes,French,5.000.00
2019 - 2020,Maison Bleue (La) I,Productions KOTV VIII Inc.,N/A,Production,Montreal,Performance Envelopes,French,125.000.00
2019 - 2020,Fragile I,Amalga Créations Télé 6 inc.,N/A,Production,Montreal,Performance Envelopes,French,1.350.000
2019 - 2020,C’est comme ça que je t’aime I (anc. On est..vivre ensemble),POUR VIVRE ENSEMBLE SAISON 1 INC.,N/A,Production,Montreal,Performance Envelopes,French,1.944.250
2019 - 2020,Ruptures V,Production Ruptures V Inc.,N/A,Production,Montreal,Performance Envelopes,French,1.577.757
2019 - 2020,Toute la vie I,Production PLV Inc.,N/A,Production,Montreal,Performance Envelopes,French,2.420.200
2019 - 2020,Clash II,Production Clash II Inc.,N/A,Production,Montreal,Performance Envelopes,French,750.000.00
2019 - 2020,Faits divers III,Les Productions Sovimage / Faits divers inc.,N/A,Production,Montreal,Performance Envelopes,French,1.729.906
2018 - 2019,Bow’t Trail – Créer pour ne pas crier,KNGFU FILMS INC.,N/A,Production,Montreal,Performance Envelopes,French,101.500.00
2018 - 2019,Voix (La) VII,La Voix Télévision Inc.,N/A,Production,Montreal,Performance Envelopes,French,1.425.454
2018 - 2019,TRIBAL I,Iprod Inc.,N/A,Production,Montreal,Performance Envelopes,French,98.612.00
2018 - 2019,O5,Zone3-XVI Inc.,N/A,Production,Montreal,Performance Envelopes,French,30.000.00
2018 - 2019,Quel jour on est ?,Zone3-XV Inc.,N/A,Production,Montreal,Performance Envelopes,French,25.000.00
2018 - 2019,Jérémie V,Zone3-XVIII inc.,N/A,Production,Montreal,Performance Envelopes,French,401.740.00
2018 - 2019,Winnebago I,Production Mulo Inc.,N/A,Production,Montreal,Performance Envelopes,French,736.045.00
2019 - 2020,Kebec II,Zone3-XVI Inc.,N/A,Production,Montreal,Performance Envelopes,French,185.000.00
2018 - 2019,Kebec II,Zone3-XVI Inc.,N/A,Production,Montreal,Performance Envelopes,French,115.000.00
2018 - 2019,Manosphère: la masculinité toxique,La plénière inc.,N/A,Production,Montreal,Performance Envelopes,French,55.000.00
2018 - 2019,Sous le seuil I,Trinôme inc.,N/A,Production,Montreal,Performance Envelopes,French,53.719.00
2018 - 2019,Que les fêtes commencent !,Télévision illimitée II inc.,N/A,Production,Montreal,Performance Envelopes,French,5.000.00
2018 - 2019,La vie au parc I,Attraction Images Productions XV Inc.,N/A,Production,Montreal,Performance Envelopes,French,221.650.00
2018 - 2019,Opération Père Noël,Toast Media Inc.,N/A,Production,Montreal,Performance Envelopes,French,20.000.00
2018 - 2019,Vie devant soi (La) I,URBANIA TV 3108 inc.,N/A,Production,Montreal,Performance Envelopes,French,191.910.00
2018 - 2019,Jeunes chefs en Mission I,B-612 TV inc.,N/A,Production,Montreal,Performance Envelopes,French,79.500.00
2018 - 2019,Laurent Duvernay-Tardif: NFL MD,Productions KOTV VI inc.,N/A,Production,Montreal,Performance Envelopes,French,34.000.00
2018 - 2019,Allegro ma non troppo,Hangar 24A Inc,N/A,Production,Montreal,Performance Envelopes,French,16.717.00
2018 - 2019,L’Open Mic de…,Productions Open Mic inc.,N/A,Production,Montreal,Performance Envelopes,French,476.988.00
2018 - 2019,Bizarroscope IV,4504046 Canada Inc,N/A,Production,Montreal,Performance Envelopes,French,83.900.00
2018 - 2019,Maisonneuve,9174-5018 Québec inc.,N/A,Production,Montreal,Performance Envelopes,French,57.812.00
2018 - 2019,Vieux copains (Les),7257244 Canada Inc.,N/A,Production,Montreal,Performance Envelopes,French,15.000.00
2018 - 2019,Méchante météo,Iprod Inc.,N/A,Production,Montreal,Performance Envelopes,French,243.000.00
2018 - 2019,Méchant trip! IV,9223-3287 Québec Inc. (Wabanok),N/A,Production,Montreal,Performance Envelopes,French,394.066.00
2018 - 2019,Entends ma voix (anc. Bye Bye Betty),Pamplemousse Média II Inc.,N/A,Production,Montreal,Performance Envelopes,French,89.075.00
2018 - 2019,Taboo I,Attraction Images Productions XIV Inc.,N/A,Production,Montreal,Performance Envelopes,French,289.972.00
2018 - 2019,District 31 – Documentaire 2 : Les Commandants,Aetios Documentaires Inc.,N/A,Production,Montreal,Performance Envelopes,French,50.000.00
2018 - 2019,En rodage I,Trinôme II Inc.,N/A,Production,Montreal,Performance Envelopes,French,227.000.00
2018 - 2019,Famille Groulx (La) III,Datsit Studios Quatorze Inc.,N/A,Production,Montreal,Performance Envelopes,French,286.106.00
2018 - 2019,Refuge animal V,8450544 Canada Inc.,N/A,Production,Montreal,Performance Envelopes,French,10.000.00
2018 - 2019,Intouchables,Trinôme II Inc.,N/A,Production,Montreal,Performance Envelopes,French,216.990.00
2018 - 2019,Zoo pas comme les autres (Un) I,Datsit Studios Quinze Inc.,N/A,Production,Montreal,Performance Envelopes,French,10.000.00
2018 - 2019,Pompiers: la relève I (anc. Dans le feu de l’action I),Datsit Studios Quinze Inc.,N/A,Production,Montreal,Performance Envelopes,French,273.174.00
2019 - 2020,Cerebrum I (anc. Cérébrum),Sphère Média 2019 Inc.,N/A,Production,Montreal,Performance Envelopes,French,955.073.00
2018 - 2019,Cérébrum I,Sphère Média 2019 Inc.,N/A,Production,Montreal,Performance Envelopes,French,394.927.00
2018 - 2019,Bye Bye 2018,Les Productions Bye Bye 2016 Inc.,N/A,Production,Montreal,Performance Envelopes,French,107.722.00
2018 - 2019,Académie (L’),6842887 Canada inc.,N/A,Production,Montreal,Performance Envelopes,French,30.000.00
2018 - 2019,Clovis I,Productions KOTV II Inc.,N/A,Production,Montreal,Performance Envelopes,French,15.000.00
2018 - 2019,Crescendo III,Média Qube Télé Inc.,N/A,Production,Montreal,Performance Envelopes,French,15.000.00
2018 - 2019,Effaceurs (Les) I,Trinôme II Inc.,N/A,Production,Montreal,Performance Envelopes,French,155.000.00
2018 - 2019,Monde selon Amazon (Le),Films du Rapide-Blanc Inc.,N/A,Production,Montreal,Performance Envelopes,French,20.000.00
2018 - 2019,Marie-Mai: elle et moi,Zone3-XVI Inc.,N/A,Production,Montreal,Performance Envelopes,French,52.000.00
2018 - 2019,Où es-tu? I,Attraction Images Productions V Inc.,N/A,Production,Montreal,Performance Envelopes,French,150.000.00
2018 - 2019,Cerveau sonore,8732094 Canada inc.,N/A,Production,Montreal,Performance Envelopes,French,20.000.00
2018 - 2019,Symphonie de Télé-Québec (La),Pamplemousse Média II Inc.,N/A,Production,Montreal,Performance Envelopes,French,25.000.00
2018 - 2019,Frères Apocalypse (Les) I,N12 Productions II inc.,N/A,Production,Montreal,Performance Envelopes,French,1.234.867
2018 - 2019,Chacun son île IV,DBC2 Inc.,N/A,Production,Montreal,Performance Envelopes,French,100.000.00
2018 - 2019,Conquérants des glaces I,Amalga Créations Télé Inc.,N/A,Production,Montreal,Performance Envelopes,French,214.720.00
2018 - 2019,Nombreux et heureux II,7257244 Canada Inc.,N/A,Production,Montreal,Performance Envelopes,French,190.200.00
2018 - 2019,Vie après (La),Productions KOTV IV INC.,N/A,Production,Montreal,Performance Envelopes,French,79.240.00
2018 - 2019,Génocide du Rwanda – 25 ans après (Le),Les Productions Avanti Ciné Vidéo Inc.,N/A,Production,Montreal,Performance Envelopes,French,124.000.00
2018 - 2019,Au pic et à la pelle I,4472438 Canada Inc.,N/A,Production,Montreal,Performance Envelopes,French,198.993.00
2018 - 2019,180 Jours II,Les Productions Avanti Ciné Vidéo Inc.,N/A,Production,Montreal,Performance Envelopes,French,264.656.00
2018 - 2019,Mères à boutte II,Datsit Studios Huit Inc.,N/A,Production,Montreal,Performance Envelopes,French,212.889.00
2018 - 2019,Dans les pas de… I,Zone3-XVI Inc.,N/A,Production,Montreal,Performance Envelopes,French,340.000.00
2018 - 2019,YUL; les flyés de l’aéroport I,Pimiento Médias 3 Inc.,N/A,Production,Montreal,Performance Envelopes,French,186.399.00
2018 - 2019,Code AllStars I,Zone3-XVI Inc.,N/A,Production,Montreal,Performance Envelopes,French,208.873.00
2018 - 2019,Unité des naissances II,Attraction Images Productions XIV Inc.,N/A,Production,Montreal,Performance Envelopes,French,210.779.00
2018 - 2019,Année Cannabis (L’),Vice Productions Québec I Inc.,N/A,Production,Montreal,Performance Envelopes,French,72.870.00
2018 - 2019,Rite de passage 2,Kassiwi Média Inc.,N/A,Production,Montreal,Performance Envelopes,French,42.000.00
2018 - 2019,Mais pourquoi ?,Trinôme II Inc.,N/A,Production,Montreal,Performance Envelopes,French,229.770.00
2018 - 2019,Princes à Calcutta (Les) I,Attraction Images Productions V Inc.,N/A,Production,Montreal,Performance Envelopes,French,100.000.00
2018 - 2019,Unité 9 – Documentaire 5,Aetios Documentaires Inc.,N/A,Production,Montreal,Performance Envelopes,French,50.000.00
2018 - 2019,14000 millions de choses à savoir I,PRODUCTIONS KOTV V INC.,N/A,Production,Montreal,Performance Envelopes,French,199.898.00
2018 - 2019,Ceci n’est pas un talk show I,Productions KOTV VI inc.,N/A,Production,Montreal,Performance Envelopes,French,222.358.00
2018 - 2019,Plus belle province; La poudre aux yeux (La),9325-8317 Québec inc.,N/A,Production,Montreal,Performance Envelopes,French,78.554.00
2018 - 2019,Dernier tour de piste (Le),9325-8317 Québec inc.,N/A,Production,Montreal,Performance Envelopes,French,69.000.00
2018 - 2019,Voix du peuple (La),9325-8317 Québec inc.,N/A,Production,Montreal,Performance Envelopes,French,70.000.00
2018 - 2019,Magie des stars II (La),Entourage Télévision III Inc.,N/A,Production,Montreal,Performance Envelopes,French,10.000.00
2018 - 2019,Véronic DiCaire 2018,Attraction Images Productions X Inc.,N/A,Production,Montreal,Performance Envelopes,French,64.000.00
2018 - 2019,Chalet (Le) V,Les Productions Passez Go II Inc.,N/A,Production,Montreal,Performance Envelopes,French,390.350.00
2018 - 2019,Honorables (Les) I,Sphère Média 2018 inc.,N/A,Production,Montreal,Performance Envelopes,French,50.000.00
2018 - 2019,Art de la chasse (L’),9184-1031 Québec inc.,N/A,Production,Montreal,Performance Envelopes,French,64.208.00
2018 - 2019,ALT III,PRODUCTIONS KOTV V INC.,N/A,Production,Montreal,Performance Envelopes,French,373.485.00
2018 - 2019,Éboueurs (Les) I,Datsit Studios Quinze Inc.,N/A,Production,Montreal,Performance Envelopes,French,196.715.00
2018 - 2019,Expérience Messmer (L’) IV,Entourage Télévision III Inc.,N/A,Production,Montreal,Performance Envelopes,French,5.000.00
2018 - 2019,Ride and Shine I,Datsit Studios Quinze Inc.,N/A,Production,Montreal,Performance Envelopes,French,194.984.00
2018 - 2019,En tout cas II,EN TOUT CAS SAISON 2 INC.,N/A,Production,Montreal,Performance Envelopes,French,250.000.00
2018 - 2019,En direct de l’univers X,Attraction Images Productions V Inc.,N/A,Production,Montreal,Performance Envelopes,French,192.000.00
2018 - 2019,Blue Box,Intuitive Pictures Productions Inc.,N/A,Production,Montreal,Performance Envelopes,French,25.000.00
2018 - 2019,Interstellar Ella I,Animation Ella Inc.,N/A,Production,Montreal,Performance Envelopes,French,200.000.00
2019 - 2020,David Saint-Jacques: mission spatiale (anc. Mission 58/59),7926766 Canada Inc.,N/A,Production,Montreal,Performance Envelopes,French,104.269.00
2018 - 2019,David Saint-Jacques: mission spatiale (anc. Mission 58/59),7926766 Canada Inc.,N/A,Production,Montreal,Performance Envelopes,French,115.000.00
2018 - 2019,Mammouth II,Attraction Images Productions X Inc.,N/A,Production,Montreal,Performance Envelopes,French,87.380.00
2018 - 2019,Belle et Bum XVI,Datsit Studios Quinze Inc.,N/A,Production,Montreal,Performance Envelopes,French,319.566.00
2018 - 2019,À fond de train III,Blimp Télé Inc.,N/A,Production,Montreal,Performance Envelopes,French,186.807.00
2018 - 2019,Fanny – The Right to Rock,Productions Adobe International Inc.,N/A,Production,Montreal,Performance Envelopes,French,20.000.00
2018 - 2019,Inside Lehman Brothers,Intuitive Pictures Productions Inc.,N/A,Production,Montreal,Performance Envelopes,French,23.000.00
2018 - 2019,Alix et les merveilleux I,Les Productions Avanti Ciné Vidéo Inc.,N/A,Production,Montreal,Performance Envelopes,French,468.492.00
2018 - 2019,Alix et les merveilleux I,Les Productions Avanti Ciné Vidéo Inc.,N/A,Production,Montreal,Performance Envelopes,French,632.711.00
2018 - 2019,Appelle-moi si tu meurs,Zone3-IX Inc.,N/A,Production,Montreal,Performance Envelopes,French,50.000.00
2018 - 2019,O’ VIII,Sovimed Inc.,N/A,Production,Montreal,Performance Envelopes,French,1.800.000
2018 - 2019,Pot inc. I,Télévision illimitée II inc.,N/A,Production,Montreal,Performance Envelopes,French,50.000.00
2018 - 2019,FIN – Ce qui reste de Mario,AD HOC Films bis Inc.,N/A,Production,Montreal,Performance Envelopes,French,55.000.00
2018 - 2019,Ernest Cormier : la tour du savoir et de l’amour,Les Films Perception Inc.,N/A,Production,Montreal,Performance Envelopes,French,40.375.00
