Project,Company,Year,Content_Type,Commitment,Broadcaster,Activity,Genre,Delivery Method,Round,Region,Program,Status,Language,Selection Round
Mon coeur est comme une bombe,Médiatique LCH inc.,2012 - 2013,N/A,$1;000.00,N/A,Production,Documentary,N/A,N/A,Toronto,Performance Envelopes,Contracted,French,N/A
Motel Monstre III (45-65),7617763 Canada Inc.,2012 - 2013,N/A,$545;700.00,N/A,Production,Children's & Youth,N/A,1,Ontario,Francophone Minority,Contracted,French,1
Pour l’amour du country XI (136-146),511427 NB Inc.,2012 - 2013,N/A,$400;000.00,N/A,Production,Variety & Performing Arts,N/A,1,New Brunswick,Francophone Minority,Contracted,French,1
Pour l’amour du country XI (136-146),511427 NB Inc.,2012 - 2013,N/A,$29;960.00,N/A,Production,Variety & Performing Arts,N/A,N/A,New Brunswick,Performance Envelopes,Contracted,French,N/A
Université de Moncton a 50 ans (L’),508572 N.B. Inc,2012 - 2013,N/A,$150;000.00,N/A,Production,Documentary,N/A,1,New Brunswick,Francophone Minority,Contracted,French,1
Université de Moncton a 50 ans (L’),508572 N.B. Inc,2012 - 2013,N/A,$1;000.00,N/A,Production,Documentary,N/A,N/A,New Brunswick,Performance Envelopes,Contracted,French,N/A
Mr. Young III (53-80),Mr. Young (III) Productions Inc.,2012 - 2013,N/A,$6;092;669.00,N/A,Production,Children's & Youth,N/A,N/A,British Columbia,Performance Envelopes,Contracted,English,N/A
Mr. Young III (53-80),Mr. Young (III) Productions Inc.,2012 - 2013,N/A,$1;000;000.00,,Production,Children's & Youth,N/A,N/A,British Columbia,English Production Incentive-British Columbia,Contracted,English,N/A
Heartland VI (601-618),Rescued Horse Season Six Inc.,2012 - 2013,N/A,$6;862;500.00,N/A,Production,Drama,N/A,N/A,Alberta,Performance Envelopes,Contracted,English,N/A
Heartland VI (601-618),Rescued Horse Season Six Inc.,2012 - 2013,N/A,$1;000;000.00,,Production,Drama,N/A,N/A,Alberta,English Production Incentive-Alberta,Contracted,English,N/A
Galère (La) V (43-52),Productions La Galère IV inc. FUSIONNÉE dans #124165,2012 - 2013,N/A,$1;968;523.00,N/A,Production,Drama,N/A,N/A,Montreal,Performance Envelopes,Contracted,French,N/A
Mr. D II (13-25),Mr. D S2 Productions Limited,2012 - 2013,N/A,$130;000.00,N/A,Production,Drama,N/A,N/A,Nova Scotia,Performance Envelopes,Contracted,English,N/A
Mr. D II (13-25),Mr. D S2 Productions Limited,2012 - 2013,N/A,$732;545.00,,Production,Drama,N/A,N/A,Nova Scotia,English Production Incentive-Nova Scotia,Contracted,English,N/A
Liquidator (The) I (101-113),Liquidator Productions Inc. (The),2012 - 2013,N/A,$171;500.00,,Production,Documentary,N/A,N/A,British Columbia,English Production Incentive-British Columbia,Contracted,English,N/A
Arctic Air II (201-213),Arctic II Productions Ltd.,2012 - 2013,N/A,$3;500;000.00,N/A,Production,Drama,N/A,N/A,British Columbia,Performance Envelopes,Contracted,English,N/A
Arctic Air II (201-213),Arctic II Productions Ltd.,2012 - 2013,N/A,$500;000.00,N/A,Production,Drama,N/A,N/A,British Columbia,Performance Envelopes,Contracted,English,N/A
Arctic Air II (201-213),Arctic II Productions Ltd.,2012 - 2013,N/A,$1;000;000.00,,Production,Drama,N/A,N/A,British Columbia,English Production Incentive-British Columbia,Contracted,English,N/A
Grand-Pré – Écho de l’UNESCO,Inscription Grand-Pré Inc.,2012 - 2013,N/A,$147;940.00,N/A,Production,Documentary,N/A,1,New Brunswick,Francophone Minority,Contracted,French,1
Grand-Pré – Écho de l’UNESCO,Inscription Grand-Pré Inc.,2012 - 2013,N/A,$1;000.00,N/A,Production,Documentary,N/A,N/A,New Brunswick,Performance Envelopes,Contracted,French,N/A
Sortir du bois!,Arts et Images Productions Inc.,2012 - 2013,N/A,$58;033.00,N/A,Production,Documentary,N/A,N/A,Quebec,Performance Envelopes,Contracted,French,N/A
Sortir du bois!,Arts et Images Productions Inc.,2012 - 2013,N/A,$29;016.00,N/A,Production,Documentary,N/A,N/A,Quebec,Quebec French Regional Production Incentive,Contracted,French,N/A
Kids’ Canada Celebration Project – Mobile,CBC,2011 - 2012,Game,$18;990.00,N/A,Production,Children's & Youth,Downloadable,N/A,Toronto,Performance Envelopes,Contracted,English,N/A
Last Woman Standing – Mobile Application,6909060 Canada Inc. (d/b/a Prospector Films),2011 - 2012,N/A,$4;438.00,N/A,Production,Documentary,Website,N/A,Montreal,Performance Envelopes,Contracted,English,N/A
I Prophesy III (1-3),Ruby Predicts Inc.,2011 - 2012,N/A,$45;000.00,N/A,Production,Documentary,N/A,N/A,Nova Scotia,Performance Envelopes,Contracted,English,N/A
I Prophesy: The Future Revealed II: Rapture Ready,Prediction 2 Productions Inc.,2011 - 2012,N/A,$15;000.00,N/A,Production,Documentary,N/A,N/A,Nova Scotia,Performance Envelopes,Contracted,English,N/A
Supernatural Investigator 2: Fortune Telling and Guardian Angel (1-2),Paranormal Inquiry 2 Productions Inc.,2011 - 2012,N/A,$30;000.00,N/A,Production,Documentary,N/A,N/A,Nova Scotia,Performance Envelopes,Contracted,English,N/A
Saving Hope – DM,Bell Media,2011 - 2012,Rich Interactive Media,$19;485.00,N/A,Production,Drama,Physical Support,N/A,Toronto,Performance Envelopes,Contracted,English,N/A
Saving Hope – DM,Bell Media,2011 - 2012,Rich Interactive Media,$116;207.00,,Production,Drama,Physical Support,N/A,Ontario,Convergent Digital Media Incentive,Contracted,English,N/A
Geri Hall 2011-12 (Pilot) (#3) Blind,Geriwinkle Inc.,2011 - 2012,N/A,$22;439.00,N/A,Development,Drama,N/A,N/A,Toronto,Development Envelopes,Contracted,English,N/A
Et si I (1-14),PRODUCTIONS KOTV I INC.,2012 - 2013,N/A,$1;242;556.00,N/A,Production,Drama,N/A,N/A,Montreal,Performance Envelopes,Contracted,French,N/A
Grasslands DM,Grasslands Productions Inc.,2011 - 2012,Rich Interactive Media,$10;000.00,N/A,Production,Documentary,Website,N/A,Saskatchewan,Performance Envelopes,Contracted,English,N/A
Grasslands DM,Grasslands Productions Inc.,2011 - 2012,Rich Interactive Media,$7;941.00,,Production,Documentary,Website,N/A,Saskatchewan,Convergent Digital Media Incentive,Contracted,English,N/A
I Prophesy: The Red Heifer,Norflicks Productions Ltd.,2011 - 2012,N/A,$15;000.00,N/A,Production,Documentary,N/A,N/A,Toronto,Performance Envelopes,Contracted,English,N/A
Air Farce Not the New Year’s Eve Show,Air Farce 2011 Inc.,2011 - 2012,N/A,$427;572.00,N/A,Production,Variety & Performing Arts,N/A,N/A,Toronto,Performance Envelopes,Contracted,English,N/A
GrandParenting,2304043 Ontario Inc.,2011 - 2012,N/A,$80;000.00,N/A,Production,Documentary,N/A,N/A,Toronto,Performance Envelopes,Contracted,English,N/A
Perfect Storms (1-6),Perfect Storm Television Productions Inc.,2011 - 2012,N/A,$995;715.00,N/A,Production,Documentary,N/A,N/A,Toronto,Performance Envelopes,Contracted,English,N/A
Elvis; In Love,Summerhill Productions Six Inc.,2011 - 2012,N/A,$36;563.00,N/A,Production,Documentary,N/A,N/A,Toronto,Performance Envelopes,Contracted,English,N/A
Guilt Free Zone (The) I – DM,GFZ Films Inc.,2011 - 2012,Rich Interactive Media,$5;000.00,N/A,Production,Variety & Performing Arts,Website,N/A,Toronto,Performance Envelopes,Contracted,English,N/A
Guilt Free Zone (The) I (1-6),GFZ Films Inc.,2011 - 2012,N/A,$255;000.00,N/A,Production,Variety & Performing Arts,N/A,N/A,Toronto,Performance Envelopes,Contracted,English,N/A
Invisible Threat,101196508 Saskatchewan Ltd.,2011 - 2012,N/A,$125;000.00,N/A,Production,Documentary,N/A,N/A,Saskatchewan,Performance Envelopes,Contracted,English,N/A
Bipolarized,90th Parallel Productions Ltd.,2011 - 2012,N/A,$125;000.00,N/A,Production,Documentary,N/A,N/A,Toronto,Performance Envelopes,Contracted,English,N/A
Cover Me Canada – Interactive,CBC,2011 - 2012,Rich Interactive Media,$2;500.00,N/A,Production,Variety & Performing Arts,Website,N/A,Toronto,Performance Envelopes,Contracted,English,N/A
Oh My God II (7-12),1755643 Ontario Ltd. dba Stornoway Productions,2011 - 2012,N/A,$52;850.00,N/A,Production,Children's & Youth,N/A,N/A,Toronto,Performance Envelopes,Contracted,English,N/A
Just (The),7980728 Canada Inc.,2011 - 2012,N/A,$15;000.00,N/A,Production,Documentary,N/A,N/A,Toronto,Performance Envelopes,Contracted,English,N/A
Next Step Mash-Up (The),Secret Location Inc.,2011 - 2012,Rich Interactive Media,$150;000.00,N/A,Production,Children's & Youth,Website,N/A,Toronto,Performance Envelopes,Contracted,English,N/A
Next Step (The) I (1-30),Temple Dance Productions Ltd.,2012 - 2013,N/A,$508;470.00,N/A,Production,Children's & Youth,N/A,N/A,Toronto,Performance Envelopes,Contracted,English,N/A
Next Step (The) I (1-30),Temple Dance Productions Ltd.,2011 - 2012,N/A,$1;300;000.00,N/A,Production,Children's & Youth,N/A,N/A,Toronto,Performance Envelopes,Contracted,English,N/A
Suzuki Diaries III,CBC,2011 - 2012,N/A,$7;500.00,N/A,Production,Documentary,N/A,N/A,Toronto,Performance Envelopes,Contracted,English,N/A
War of 1812 (The): Been There; Won That (1-2),CBC,2011 - 2012,N/A,$111;107.00,N/A,Production,Documentary,N/A,N/A,Toronto,Performance Envelopes,Contracted,English,N/A
Nuts About Squirrels,CBC,2011 - 2012,N/A,$58;231.00,N/A,Production,Documentary,N/A,N/A,Toronto,Performance Envelopes,Contracted,English,N/A
Wingin’ It III – Game,Wingin It III Productions Limited,2011 - 2012,Game,$50;000.00,N/A,Production,Children's & Youth,Website,N/A,Toronto,Performance Envelopes,Contracted,English,N/A
Story Explorers I (1-26),Story Planet Media Inc.,2011 - 2012,N/A,$105;000.00,N/A,Production,Children's & Youth,N/A,N/A,Toronto,Performance Envelopes,Contracted,English,N/A
CFL 100th Anniversary Stories (Infield Fly Productions) (1-3),IF: CFL 100th Productions Inc. - cie fusionnée avec #47333,2011 - 2012,N/A,$562;500.00,N/A,Production,Documentary,N/A,N/A,Toronto,Performance Envelopes,Contracted,English,N/A
Kids’ Canada Celebration Project – DM,CBC,2011 - 2012,Rich Interactive Media,$281;010.00,N/A,Production,Children's & Youth,Downloadable,N/A,Toronto,Performance Envelopes,Contracted,English,N/A
Kids Canada Celebration Project II (501-1000),CBC,2011 - 2012,N/A,$711;853.00,N/A,Production,Children's & Youth,N/A,N/A,Toronto,Performance Envelopes,Contracted,English,N/A
CFL 100th Anniversary Stories (90th Parallel) (1-2),90th Parallel Productions Ltd.,2011 - 2012,N/A,$375;000.00,N/A,Production,Documentary,N/A,N/A,Toronto,Performance Envelopes,Contracted,English,N/A
Comedy Bar II – DM,Comedy Bar Season II Inc.,2011 - 2012,Rich Interactive Media,$43;000.00,N/A,Production,Drama,Website,N/A,Toronto,Performance Envelopes,Contracted,English,N/A
Comedy Bar II – DM,Comedy Bar Season II Inc.,2011 - 2012,Rich Interactive Media,$15;000.00,,Production,Drama,Website,N/A,Ontario,Convergent Digital Media Incentive,Contracted,English,N/A
Comedy Bar II (2011) Prequel,Comedy Bar Season II Inc.,2011 - 2012,N/A,$4;900.00,N/A,Production,Drama,N/A,N/A,Toronto,Performance Envelopes,Contracted,English,N/A
Super Duper Alice Cooper,Alice Doc Inc.,2011 - 2012,N/A,$165;000.00,N/A,Production,Documentary,N/A,N/A,Toronto,Performance Envelopes,Contracted,English,N/A
Splatalot II (27-52),Marblemedia Splatalot II Inc.,2011 - 2012,N/A,$1;327;200.00,N/A,Production,Children's & Youth,N/A,N/A,Toronto,Performance Envelopes,Contracted,English,N/A
Almost Naked Animals III (41-52),ANA III Productions Inc.,2011 - 2012,N/A,$720;000.00,N/A,Production,Children's & Youth,N/A,N/A,Toronto,Performance Envelopes,Contracted,English,N/A
Kol’s World II (11-15),Kol TV Inc.,2011 - 2012,N/A,$200;000.00,N/A,Production,Children's & Youth,N/A,N/A,Toronto,Performance Envelopes,Contracted,English,N/A
Green Heroes II (7-12),CineFocus Canada Productions Inc.,2011 - 2012,N/A,$59;347.00,N/A,Production,Documentary,N/A,N/A,Toronto,Performance Envelopes,Contracted,English,N/A
Degrassi XII – DM,Epitome Pictures Inc.,2011 - 2012,Rich Interactive Media,$75;000.00,N/A,Production,Children's & Youth,Downloadable,N/A,Toronto,Performance Envelopes,Contracted,English,N/A
Drop Deck – The Borgias,Borgias II Productions Inc.,2011 - 2012,Game,$20;000.00,N/A,Production,Drama,Website,N/A,Toronto,Performance Envelopes,Contracted,English,N/A
Redemption Inc. Revisited,Redemption Revisited Inc.,2011 - 2012,N/A,$229;976.00,N/A,Production,Documentary,N/A,N/A,Toronto,Performance Envelopes,Contracted,English,N/A
Star Académie V (1-10),Productions SA 5 Inc.,2011 - 2012,N/A,$856;707.00,N/A,Production,Variety & Performing Arts,N/A,N/A,Montreal,Performance Envelopes,Contracted,French,N/A
Aimer pour de vrai,Les Productions Avanti Ciné Vidéo Inc.,2011 - 2012,N/A,$76;802.00,N/A,Production,Documentary,N/A,N/A,Montreal,Performance Envelopes,Contracted,French,N/A
Tough Choices: Gridlock,90th Parallel Productions Ltd.,2011 - 2012,N/A,$63;667.00,N/A,Production,Documentary,N/A,N/A,Toronto,Performance Envelopes,Contracted,English,N/A
Steakhouse (Le),URBANIA TV Inc.,2011 - 2012,N/A,$75;300.00,N/A,Production,Documentary,N/A,N/A,Montreal,Performance Envelopes,Contracted,French,N/A
Journey to the Disaster Zone: Japan 3/11,90th Parallel Productions Ltd.,2011 - 2012,N/A,$73;811.00,N/A,Production,Documentary,N/A,N/A,Toronto,Performance Envelopes,Contracted,English,N/A
Fit First-Youth Edition (Home Boxing Trainer),Fit First Season III Inc.,2011 - 2012,N/A,$4;000.00,N/A,Production,Documentary,Website,N/A,Manitoba,Performance Envelopes,Contracted,English,N/A
Fit First-Youth Edition lll (1-6),Fit First Season III Inc.,2011 - 2012,N/A,$157;500.00,N/A,Production,Documentary,N/A,N/A,Manitoba,Performance Envelopes,Contracted,English,N/A
Tough Choices: The Next Chapter,90th Parallel Productions Ltd.,2011 - 2012,N/A,$68;233.00,N/A,Production,Documentary,N/A,N/A,Toronto,Performance Envelopes,Contracted,English,N/A
Gars le soir (Un) IV (197-338),9067-2841 Québec Inc.,2011 - 2012,N/A,$1;371;830.00,N/A,Production,Variety & Performing Arts,N/A,N/A,Montreal,Performance Envelopes,Contracted,French,N/A
Tripeux (Les) IV (52-64),3809404 Canada Inc.,2011 - 2012,N/A,$180;335.00,N/A,Production,Documentary,N/A,N/A,Montreal,Performance Envelopes,Contracted,French,N/A
Défi des champions (Le) – Le grand variété du dimanche I (1-9),9230-1332 Québec Inc,2011 - 2012,N/A,$200;000.00,N/A,Production,Variety & Performing Arts,N/A,N/A,Montreal,Performance Envelopes,Contracted,French,N/A
Les Stars Chantent Noël,Les Productions Select TV Inc.,2011 - 2012,N/A,$25;000.00,N/A,Production,Documentary,N/A,N/A,Montreal,Performance Envelopes,Contracted,French,N/A
Simplement vedette II (4-6),Trinôme II Inc.,2011 - 2012,N/A,$199;280.00,N/A,Production,Documentary,N/A,N/A,Montreal,Performance Envelopes,Contracted,French,N/A
Mario Pelchat – Je suis un chanteur,Les Productions Select TV Inc.,2011 - 2012,N/A,$5;000.00,N/A,Production,Documentary,N/A,N/A,Montreal,Performance Envelopes,Contracted,French,N/A
Cross Country Fun Hunt I (1-13),Florence Productions Inc. (QC),2011 - 2012,N/A,$380;000.00,N/A,Production,Children's & Youth,N/A,N/A,Montreal,Performance Envelopes,Contracted,English,N/A
Y Génération plaisir,7257244 Canada Inc.,2011 - 2012,N/A,$62;720.00,N/A,Production,Documentary,N/A,N/A,Montreal,Performance Envelopes,Contracted,French,N/A
Science ou fiction III – MN,Les Productions Point de mire Inc.,2011 - 2012,Rich Interactive Media,$13;550.00,N/A,Production,Documentary,Website,N/A,Montreal,Performance Envelopes,Contracted,French,N/A
Science ou fiction III (40-52),Les Productions Point de mire Inc.,2011 - 2012,N/A,$101;865.00,N/A,Production,Documentary,N/A,N/A,Montreal,Performance Envelopes,Contracted,French,N/A
Halfway I (1-13),D. Nightingale & Assoc. Ltd. d/b/a The Nightingale Company,2011 - 2012,N/A,$31;209.00,N/A,Development,Drama,N/A,N/A,Toronto,Development Envelopes,Contracted,English,N/A
Halfway I (1-13),D. Nightingale & Assoc. Ltd. d/b/a The Nightingale Company,2011 - 2012,N/A,$31;209.00,N/A,Development,Drama,N/A,N/A,Toronto,Development Envelopes,Contracted,English,N/A
Comme par magie – Aux limites de l’illusion (spéciale 8),Téléfiction Productions inc.,2011 - 2012,N/A,$44;750.00,N/A,Production,Variety & Performing Arts,N/A,N/A,Montreal,Performance Envelopes,Contracted,French,N/A
Fausse couche vrai deuil,Les Productions Avanti Ciné Vidéo Inc.,2011 - 2012,N/A,$68;288.00,N/A,Production,Documentary,N/A,N/A,Montreal,Performance Envelopes,Contracted,French,N/A
Jean-Michel Anctil – Tel quel,Productions Maricharlau Inc. (Les),2011 - 2012,N/A,$51;800.00,N/A,Production,Variety & Performing Arts,N/A,N/A,Montreal,Performance Envelopes,Contracted,French,N/A
Mission Mayday-MN,SRC,2011 - 2012,Rich Interactive Media,$40;000.00,N/A,Production,Children's & Youth,Website,N/A,Montreal,Performance Envelopes,Contracted,French,N/A
Ports d’attache III – MN,DBC2 Inc.,2011 - 2012,Rich Interactive Media,$15;000.00,N/A,Production,Documentary,Website,N/A,Montreal,Performance Envelopes,Contracted,French,N/A
Mario Jean – Gare au gros nounours! (1-2),Encore Télévision I Inc.,2011 - 2012,N/A,$46;448.00,N/A,Production,Variety & Performing Arts,N/A,N/A,Montreal,Performance Envelopes,Contracted,French,N/A
Miroir – MN,Les Productions Point de mire Inc.,2011 - 2012,Rich Interactive Media,$15;000.00,N/A,Production,Documentary,Website,N/A,Montreal,Performance Envelopes,Contracted,French,N/A
Ports d’attache III (27-39),DBC2 Inc.,2011 - 2012,N/A,$184;603.00,N/A,Production,Documentary,N/A,N/A,Montreal,Performance Envelopes,Contracted,French,N/A
Miroir I (1-13),Les Productions Point de mire Inc.,2011 - 2012,N/A,$160;000.00,N/A,Production,Documentary,N/A,N/A,Montreal,Performance Envelopes,Contracted,French,N/A
Mission Mayday I (1-26),SRC,2011 - 2012,N/A,$165;825.00,N/A,Production,Children's & Youth,N/A,N/A,Montreal,Performance Envelopes,Contracted,French,N/A
Primeval: New World I – Mobile Games,Anomaly Productions Ltd.,2011 - 2012,Game,$20;000.00,N/A,Production,Drama,Downloadable,N/A,British Columbia,Performance Envelopes,Contracted,English,N/A
Primeval: New World I – Mobile Games,Anomaly Productions Ltd.,2011 - 2012,Game,$105;000.00,,Production,Drama,Downloadable,N/A,British Columbia,Convergent Digital Media Incentive,Contracted,English,N/A
Chaos & Courage I (101-106),Sweetgrass & Sage Inc.,2011 - 2012,N/A,$160;734.00,N/A,Production,Documentary,N/A,N/A,Alberta,Performance Envelopes,Contracted,English,N/A
Chaos & Courage I (101-106),Sweetgrass & Sage Inc.,2011 - 2012,N/A,$50;400.00,,Production,Documentary,N/A,N/A,Alberta,English Production Incentive-Alberta,Contracted,English,N/A
Flashpoint Quiz,Flashpoint All Seasons Inc.,2011 - 2012,Game,$25;000.00,N/A,Production,Drama,Website,N/A,Toronto,Performance Envelopes,Contracted,English,N/A
Flashpoint Quiz,Flashpoint All Seasons Inc.,2011 - 2012,Game,$25;000.00,,Production,Drama,Website,N/A,Ontario,Convergent Digital Media Incentive,Contracted,English,N/A
Arctic Air I – DM,Arctic Productions Ltd.,2011 - 2012,Rich Interactive Media,$100;000.00,N/A,Production,Drama,Website,N/A,British Columbia,Performance Envelopes,Contracted,English,N/A
30 secondes pour changer le monde I (1-12),Productions GCIP Inc.,2011 - 2012,N/A,$275;000.00,N/A,Production,Documentary,N/A,N/A,Montreal,Performance Envelopes,Contracted,French,N/A
François Léveillée – En toute intimité,QuébéComm Télévision Inc.,2011 - 2012,N/A,$40;000.00,N/A,Production,Variety & Performing Arts,N/A,N/A,Quebec,Performance Envelopes,Contracted,French,N/A
Winnipeg Comedy Festival 2012 IV (401-405),WCF 2012 Productions Inc.,2011 - 2012,N/A,$355;000.00,N/A,Production,Variety & Performing Arts,N/A,N/A,Manitoba,Performance Envelopes,Contracted,English,N/A
Dino Dan III (301-314),Sinking Ship (Dino Dan) Productions Inc.,2011 - 2012,N/A,$300;000.00,N/A,Production,Children's & Youth,N/A,N/A,Toronto,Performance Envelopes,Contracted,English,N/A
Dino Dan III (301-314),Sinking Ship (Dino Dan) Productions Inc.,2011 - 2012,N/A,$42;000.00,N/A,Production,Children's & Youth,N/A,N/A,Toronto,Performance Envelopes,Contracted,English,N/A
Pee-Wee 3D (Les)-MN,Productions Pee Wee Inc.,2011 - 2012,Rich Interactive Media,$10;000.00,N/A,Production,Drama,Website,N/A,Montreal,Performance Envelopes,Contracted,French,N/A
Ghosts In Our Machine (The),Ghosts Media Inc.,2012 - 2013,N/A,$148;500.00,N/A,Production,Documentary,N/A,N/A,Ontario,English POV,Contracted,English,N/A
Ghosts In Our Machine (The),Ghosts Media Inc.,2011 - 2012,N/A,$70;000.00,N/A,Production,Documentary,N/A,N/A,Toronto,Performance Envelopes,Contracted,English,N/A
Reelside I (1-6),FG-Reel Inc.,2011 - 2012,N/A,$100;000.00,N/A,Production,Documentary,N/A,N/A,Toronto,Performance Envelopes,Contracted,English,N/A
Lettres au Père Noël,7715099 Canada Inc.,2011 - 2012,N/A,$75;535.00,N/A,Production,Documentary,N/A,N/A,Montreal,Performance Envelopes,Contracted,French,N/A
Elle a 40 ans (1-4),3809404 Canada Inc.,2011 - 2012,N/A,$98;408.00,N/A,Production,Documentary,N/A,N/A,Montreal,Performance Envelopes,Contracted,French,N/A
Detentionaire III (28-40),Nelvana Limited,2011 - 2012,N/A,$771;232.00,N/A,Production,Children's & Youth,N/A,N/A,Toronto,Performance Envelopes,Contracted,English,N/A
Detentionaire III (28-40),Nelvana Limited,2011 - 2012,N/A,$770;768.00,N/A,Production,Children's & Youth,N/A,N/A,Toronto,Performance Envelopes,Contracted,English,N/A
Grey Cup 100th Anniversary Stories (The 13th Man),Field Goal Productions Inc.,2011 - 2012,N/A,$195;000.00,N/A,Production,Documentary,N/A,N/A,Manitoba,Performance Envelopes,Contracted,English,N/A
Mystery of San Nicandro (The),Nicandro Productions Inc.,2011 - 2012,N/A,$70;562.00,N/A,Production,Documentary,N/A,N/A,Toronto,Performance Envelopes,Contracted,English,N/A
15 Reasons,15 Reasons Productions Inc.,2011 - 2012,N/A,$120;000.00,N/A,Production,Documentary,N/A,N/A,Toronto,Performance Envelopes,Contracted,English,N/A
She Kills Me I (1-13),Drama Camp Productions Inc.,2011 - 2012,N/A,$100;299.00,N/A,Production,Variety & Performing Arts,N/A,N/A,British Columbia,Performance Envelopes,Contracted,English,N/A
Rain; Comme une pluie dans tes yeux,Echo Média Productions Inc.,2011 - 2012,N/A,$42;000.00,N/A,Production,Variety & Performing Arts,N/A,N/A,Montreal,Performance Envelopes,Contracted,French,N/A
Murder She Solved: True Crime III (1-8),MSS Media Inc.,2011 - 2012,N/A,$352;957.00,N/A,Production,Documentary,N/A,N/A,British Columbia,Performance Envelopes,Contracted,English,N/A
Siouï-Bacon (Les)-MN,9223-3287 Québec Inc. (Wabanok),2011 - 2012,Rich Interactive Media,$15;000.00,N/A,Production,Drama,Website,N/A,Montreal,Performance Envelopes,Contracted,French,N/A
Design est partout (Le) – MN,7926766 Canada Inc.,2011 - 2012,Rich Interactive Media,$28;750.00,N/A,Production,Documentary,Website,N/A,Montreal,Performance Envelopes,Contracted,French,N/A
Highway thru Hell I (1-8),GPM-PanCanada Productions Inc.,2011 - 2012,N/A,$667;240.00,N/A,Production,Documentary,N/A,N/A,British Columbia,Performance Envelopes,Contracted,English,N/A
Father Figures – DM,True Story Productions Inc.,2011 - 2012,Rich Interactive Media,$10;000.00,N/A,Production,Documentary,Website,N/A,British Columbia,Performance Envelopes,Contracted,English,N/A
Frontières du pas normal (Aux) – MN,9223-3287 Québec Inc. (Wabanok),2011 - 2012,Rich Interactive Media,$25;000.00,N/A,Production,Children's & Youth,Website,N/A,Montreal,Performance Envelopes,Contracted,French,N/A
Siouï-Bacon (Les) I (1-6),9223-3287 Québec Inc. (Wabanok),2011 - 2012,N/A,$251;549.00,N/A,Production,Drama,N/A,N/A,Montreal,Performance Envelopes,Contracted,French,N/A
Frontières du pas normal (Aux) I (1-13),9223-3287 Québec Inc. (Wabanok),2011 - 2012,N/A,$308;836.00,N/A,Production,Children's & Youth,N/A,N/A,Montreal,Performance Envelopes,Contracted,French,N/A
Design est partout (Le) I (1-15),7926766 Canada Inc.,2011 - 2012,N/A,$334;000.00,N/A,Production,Documentary,N/A,N/A,Montreal,Performance Envelopes,Contracted,French,N/A
Father Figures,True Story Productions Inc.,2011 - 2012,N/A,$10;000.00,N/A,Production,Documentary,N/A,N/A,British Columbia,Performance Envelopes,Contracted,English,N/A
Father Figures,True Story Productions Inc.,2011 - 2012,N/A,$90;000.00,N/A,Production,Documentary,N/A,N/A,British Columbia,Performance Envelopes,Contracted,English,N/A
X-Rayted – DM,Farpoint Films Inc.,2011 - 2012,Rich Interactive Media,$20;000.00,N/A,Production,Documentary,Website,N/A,Manitoba,Performance Envelopes,Contracted,English,N/A
X-Rayted – DM,Farpoint Films Inc.,2011 - 2012,Rich Interactive Media,$10;000.00,,Production,Documentary,Website,N/A,Manitoba,Convergent Digital Media Incentive,Contracted,English,N/A
Catch The Dream – Online,Stonecast Pictures Inc.,2011 - 2012,Rich Interactive Media,$12;355.00,N/A,Production,Documentary,Website,N/A,Toronto,Performance Envelopes,Contracted,English,N/A
Makusham II – MN,Connections Productions Inc.,2011 - 2012,Rich Interactive Media,$25;000.00,N/A,Production,Variety & Performing Arts,Website,N/A,New Brunswick,Performance Envelopes,Contracted,French,N/A
X-Rayted I (1-8),One and Done Productions Inc.,2011 - 2012,N/A,$31;382.00,N/A,Production,Documentary,N/A,N/A,Manitoba,Performance Envelopes,Contracted,English,N/A
X-Rayted I (1-8),One and Done Productions Inc.,2011 - 2012,N/A,$91;047.00,,Production,Documentary,N/A,N/A,Manitoba,English Production Incentive-Manitoba,Contracted,English,N/A
Watermark,Sixth Wave Productions Inc.,2011 - 2012,N/A,$82;258.00,N/A,Production,Documentary,N/A,N/A,Toronto,Performance Envelopes,Contracted,English,N/A
Makusham IV (37-46),509581 N.B. Inc.,2011 - 2012,N/A,$129;556.00,N/A,Production,Variety & Performing Arts,N/A,N/A,New Brunswick,Performance Envelopes,Contracted,French,N/A
Corno,Aetios Documentaires Inc.,2011 - 2012,N/A,$146;417.00,N/A,Production,Documentary,N/A,N/A,Montreal,Performance Envelopes,Contracted,French,N/A
Longueur de l’alphabet (La) – MN,Les Films Compass Inc,2011 - 2012,Rich Interactive Media,$15;000.00,N/A,Production,Documentary,Website,N/A,Montreal,Performance Envelopes,Contracted,French,N/A
Faits d’hiver I (1-4),Blimp Télé Inc.,2011 - 2012,N/A,$120;000.00,N/A,Production,Documentary,N/A,N/A,Montreal,Performance Envelopes,Contracted,French,N/A
Cas de conscience-MN,Blimp Télé Inc.,2011 - 2012,Rich Interactive Media,$60;000.00,N/A,Production,Documentary,Website,N/A,Montreal,Performance Envelopes,Contracted,French,N/A
C’est Noël avec Paul et Paul,Les Productions Avanti Ciné Vidéo Inc.,2011 - 2012,N/A,$69;350.00,N/A,Production,Variety & Performing Arts,N/A,N/A,Montreal,Performance Envelopes,Contracted,French,N/A
Mr. D I – DM,Mr. D S1 Productions Limited,2011 - 2012,Rich Interactive Media,$76;985.00,N/A,Production,Drama,Website,N/A,Nova Scotia,Performance Envelopes,Contracted,English,N/A
